OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,Shape__Area,Shape__Length
45,165,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,122087.09362793,3557.94188205978
46,166,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4689.76336669922,357.488929840365
47,167,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,3384.53912353516,345.682710542887
48,169,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,87983.1580810547,2789.97204877809
49,174,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,43569.2585449219,2148.07501413337
50,177,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,14030.354675293,709.912260457449
51,179,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,24333.3130493164,1009.26465287742
52,181,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,14287.2623291016,678.010324106632
53,183,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,12951.2736206055,656.185478582841
54,184,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,38925.0618286133,1467.76087068294
55,187,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4029.94158935547,566.64317137398
56,188,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,111723.599060059,3261.42200886304
57,190,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,218515.126708984,7971.19064349655
58,191,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,590.990173339844,177.963110499911
59,192,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1185.7900390625,291.649652536935
60,195,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,624.427124023438,203.371664420507
61,196,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6540.27105712891,1012.96022181942
62,201,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,3700.7685546875,296.555496881728
63,202,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,128996.207946777,2705.18664135346
64,204,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,60935.0867919922,2709.50119872748
65,207,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,9563.34362792969,610.136460687221
66,208,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,11165.9401245117,833.292338659336
67,210,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,5538.51422119141,396.837368916539
68,216,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2821.44714355469,425.102368535547
69,218,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,446706.159790039,7280.74295387759
70,219,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,11872.3349609375,802.969140109337
71,220,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,7641.69073486328,888.440422659671
72,224,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,51934.770690918,3582.31289346923
73,225,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,92286.5610351563,1922.31111692731
74,226,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,457.36962890625,135.861832107116
75,228,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,206732.48815918,5513.76417658248
76,236,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,41315.5405883789,1877.07913267416
77,238,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,572.472717285156,165.390574472795
78,239,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,36553.4337158203,1383.98611389966
79,241,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,35981.6585693359,1956.96771757247
80,244,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,362129.520202637,5814.31636844458
81,245,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,11233.5877685547,821.003077586374
82,246,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,677735.40020752,6888.20657930207
83,249,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,107337.532958984,2900.51063980617
84,251,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,495675.294799805,9749.86131254318
85,254,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,250435.127319336,8146.70247796194
86,260,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,387366.289428711,10046.2254016451
87,261,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,65126.991027832,2933.49456749978
88,265,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,453258.45916748,6099.35049403892
89,267,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,26781.1120605469,1307.97275020792
90,269,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,3077.57360839844,311.708714035448
91,271,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4238.02893066406,501.011338549635
92,272,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,315582.848266602,4561.53866647296
93,273,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,554075.551391602,3621.20300148839
94,274,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,154020.731323242,3497.39792430912
95,275,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4796.89404296875,640.042933425353
96,278,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,54254.6940307617,1627.62782194425
97,279,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,610.643310546875,174.210470217261
98,284,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,24973.9705200195,1081.95680920837
99,285,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,8730.39111328125,454.469415591336
100,286,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,13396.6528320313,1005.03003998533
101,287,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,81536.7114868164,1823.87401431494
102,289,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6021.43603515625,529.919661893175
103,290,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,191442.698974609,6625.85654508837
104,294,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,404.496398925781,93.6890480236729
105,296,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,45349.2207641602,2194.63251209749
106,297,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,51146.0408325195,1854.29150741574
107,298,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1399.67718505859,208.076344826207
108,301,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,21301.7431030273,906.892589380168
